ID,Task Name,Duration,Start,Finish,Predecessors,Resource Names,Outline Level
1,Pet Daycare Management System,9 wks,2026-02-02,2026-04-06,,,0
2,Increment 1: Staff Access & Pet Record Mgmt (FR1-FR5),5 wks,2026-02-02,2026-03-09,,,1
3,T1.1 Project Setup & Requirements Analysis,1 wk,2026-02-02,2026-02-09,,"K.Lekoloane (PM), All Team",2
4,T1.2 DB Schema Design,1 wk,2026-02-09,2026-02-16,3,"K.Seabi, M.Myeki",2
5,T1.3 Secure Staff Login System FR1,1.5 wks,2026-02-16,2026-02-26,4,"K.Seabi, K.Lekoloane",2
6,T1.5 Pet Profile Creation & Validation FR3+FR5,1.5 wks,2026-02-16,2026-02-26,4,"K.Seabi, T.Mashifane",2
7,T1.4 Staff Role Management FR2,1 wk,2026-02-26,2026-03-05,5,"T.Mashifane, M.Myeki",2
8,T1.6 Pet Profile View/Update/Delete FR4,1 wk,2026-02-26,2026-03-05,6,"K.Lekoloane, M.Myeki",2
9,"T1.7 Testing, Debugging & Integration",1 wk,2026-03-02,2026-03-09,"7,8",All Team,2
10,Increment 2: Booking & Capacity Mgmt (FR6-FR9),1 wk,2026-03-09,2026-03-16,2,"K.Seabi, M.Myeki, T.Mashifane",1
11,"Increment 3: Medical Alerts, Daily Status & Reporting (FR10-FR12)",3 wks,2026-03-16,2026-04-06,10,All Team,1
